,Id,library,also_in,Name,SMILES,raw_SMILES,inchikey,N_heavy_atoms,Murcko,Murcko_name
1470,Z2588063686,Euopen,,1-amino-1-phenylpropan-2-ol,CC(C(c1ccccc1)N)O,CC(C(c1ccccc1)N)O,AAEOXZIUGCXWTF-UHFFFAOYSA-N,11,c1ccccc1,benzene
1471,EN300-254789,Euopen,,6-tert-butylpiperidin-2-one,CC(C)(C)C(CCC1)NC1=O,CC(C)(C)C(CCC1)NC1=O,VPJFQYSSWKAHEG-UHFFFAOYSA-N,11,O=C1CCCCN1,piperidin-2-one
1472,Z32386156,Euopen,,2-methyl-N-(2-methylpropyl)cyclopropane-1-carboxamide,CC(C)CNC(C1C(C)C1)=O,CC(C)CNC(C1C(C)C1)=O,LQOVSBNWDFNXJS-UHFFFAOYSA-N,11,C1CC1,cyclopropane
1473,EN300-200817,Euopen,,"N,1-dimethylcyclohexane-1-carboxamide",CC1(CCCCC1)C(NC)=O,CC1(CCCCC1)C(NC)=O,JFCLRCMKDGTKPI-UHFFFAOYSA-N,11,C1CCCCC1,Cyclohexane
1474,CSC000153108,Euopen,,N-benzylacetamide,CC(NCc1ccccc1)=O,CC(NCc1ccccc1)=O,UZJLYRRDVFWSGA-UHFFFAOYSA-N,11,c1ccccc1,benzene
1475,Z54128519,Euopen,,N-(2-methylbutan-2-yl)cyclopropanecarboxamide,CCC(C)(C)NC(C1CC1)=O,CCC(C)(C)NC(C1CC1)=O,TUFJOFWPNWYBCQ-UHFFFAOYSA-N,11,C1CC1,cyclopropane
1476,EN300-1719305,Euopen,,4-[(2-methylpropan-2-yl)oxy]piperidine,CC(C)(C)OC1CCNCC1,CC(C)(C)OC1CCNCC1,FOANNJQFHJONSC-UHFFFAOYSA-N,11,C1CCNCC1,Piperidine
1477,EN300-41325,Euopen,,[3-(methoxymethyl)phenyl]methanamine,COCc1cc(CN)ccc1,COCc1cc(CN)ccc1,SASCLRJDYCGASV-UHFFFAOYSA-N,11,c1ccccc1,benzene
1478,STL481017,Euopen,,2-propoxyaniline,CCCOc(cccc1)c1N,CCCOc(cccc1)c1N,AXXYMKMFXNCXGM-UHFFFAOYSA-N,11,c1ccccc1,benzene
1479,EN300-65110,Euopen,,3-(ethoxymethyl)aniline,CCOCc1cc(N)ccc1,CCOCc1cc(N)ccc1,JBZBRGJVPVQYJG-UHFFFAOYSA-N,11,c1ccccc1,benzene
1480,M2836,Euopen,,1-(4-methoxyphenyl)-N-methyl-methanamine,CNCc(cc1)ccc1OC,CNCc(cc1)ccc1OC,AIJFPNKGGAPZFJ-UHFFFAOYSA-N,11,c1ccccc1,benzene
1481,Z1665033474,Euopen,,2-[2-(methylamino)ethyl]phenol,CNCCc(cccc1)c1O,CNCCc(cccc1)c1O,RZPBKCYWYVZAOJ-UHFFFAOYSA-N,11,c1ccccc1,benzene
1482,EN300-82656,Euopen,,2-amino-2-cyclohexylpropan-1-ol,CC(CO)(C1CCCCC1)N,CC(CO)(C1CCCCC1)N,QUERJNUDNIGFHV-UHFFFAOYSA-N,11,C1CCCCC1,Cyclohexane
1483,CSC000763386,Euopen,,(2S)-2-amino-3-phenylpropan-1-ol,N[C@@H](Cc1ccccc1)CO,N[C@@H](Cc1ccccc1)CO,STVVMTBJNDTZBF-VIFPVBQESA-N,11,c1ccccc1,benzene
1484,EN300-77661,Euopen,,1-amino-2-phenylpropan-2-ol,CC(CN)(c1ccccc1)O,CC(CN)(c1ccccc1)O,BDNDQOCRJGGSJO-UHFFFAOYSA-N,11,c1ccccc1,benzene
1485,Z285139084,Euopen,,2-methoxy-2-phenylethanamine,COC(CN)c1ccccc1,COC(CN)c1ccccc1,SPEHWYVPDGLETG-UHFFFAOYSA-N,11,c1ccccc1,benzene
1486,EN300-36104,Euopen,,2-amino-1-(2-fluorophenyl)ethanol,NCC(c(cccc1)c1F)O,NCC(c(cccc1)c1F)O,MFGOFGRYDNHJTA-UHFFFAOYSA-N,11,c1ccccc1,benzene
1487,Z1357774197,Euopen,,(4-methylsulfinylphenyl)methanamine,CS(c1ccc(CN)cc1)=O,CS(c1ccc(CN)cc1)=O,OVDPJXUHQXPHIX-UHFFFAOYSA-N,11,c1ccccc1,benzene
1488,Z18828360,Euopen,,2-cyclopentylsulfanyl-N-methylacetamide,CNC(CSC1CCCC1)=O,CNC(CSC1CCCC1)=O,AGOOAVHRXSKPHS-UHFFFAOYSA-N,11,C1CCCC1,Cyclopentane
1489,Z32016733,Euopen,,3-fluoro-N-methylbenzamide,CNC(c1cccc(F)c1)=O,CNC(c1cccc(F)c1)=O,AOSZITJMCUMUCD-UHFFFAOYSA-N,11,c1ccccc1,benzene
1490,Z1416200882,Euopen,,3-(2-fluoroethoxy)aniline,Nc1cccc(OCCF)c1,Nc1cccc(OCCF)c1,UAUAFXPJXPBWQX-UHFFFAOYSA-N,11,c1ccccc1,benzene
1491,EN300-307463,Euopen,,"(2S,3S)-2-methyl-3-(trifluoromethyl)morpholine",C[C@@H]1OCCN[C@@H]1C(F)(F)F,C[C@@H]1OCCN[C@@H]1C(F)(F)F,FQYGBPAJFYLRIB-WHFBIAKZSA-N,11,C1COCCN1,Morpholine
1492,S0008,Euopen,,2-hydroxybenzenecarbohydroxamic acid,Oc(cccc1)c1C(NO)=O,Oc(cccc1)c1C(NO)=O,HBROZNQEVUILML-UHFFFAOYSA-N,11,c1ccccc1,benzene
1493,Z54078455,Euopen,,N-(oxolan-2-ylmethyl)methanesulfonamide,CS(NCC1OCCC1)(=O)=O,CS(NCC1OCCC1)(=O)=O,STPKQVRNXGFCBB-UHFFFAOYSA-N,11,C1CCOC1,Oxolane
1494,EN300-258372,Euopen,,"1-(3,5-dimethyl-1H-pyrazol-4-yl)propan-2-amine",CC(Cc1c(C)[nH]nc1C)N,CC(Cc1c(C)[nH]nc1C)N,HDFBXEZJRWWBBA-UHFFFAOYSA-N,11,c1cn[nH]c1,1H-Pyrazole
1495,EN300-35897,Euopen,,"5-(aminomethyl)-N,N-dimethylpyridin-2-amine",CN(C)c1ncc(CN)cc1,CN(C)c1ncc(CN)cc1,YJIDKQVYACIBPR-UHFFFAOYSA-N,11,c1ccncc1,Pyridine
1496,Z381729066,Euopen,,N-propan-2-yl-1H-pyrazole-3-carboxamide,CC(C)NC(c1n[nH]cc1)=O,CC(C)NC(c1n[nH]cc1)=O,KIDXTSGRYSIIRY-UHFFFAOYSA-N,11,c1cn[nH]c1,1H-Pyrazole
1497,EN300-40239,Euopen,,pyridin-3-ylmethylurea,NC(NCc1cnccc1)=O,NC(NCc1cnccc1)=O,PWHUPFOHNXWYSH-UHFFFAOYSA-N,11,c1ccncc1,Pyridine
1498,Z1889997486,Euopen,,2-amino-5-bromopyridine-3-carboxamide,NC(c1cc(Br)cnc1N)=O,NC(c1cc(Br)cnc1N)=O,INMXVJSODXPGDJ-UHFFFAOYSA-N,11,c1ccncc1,Pyridine
1499,CSC011406895,Euopen,,"1-methyl-3-(1,3-thiazol-2-ylmethyl)urea",CNC(NCc1nccs1)=O,CNC(NCc1nccs1)=O,RMQDESDSPTUSBM-UHFFFAOYSA-N,11,c1cscn1,"1,3-thiazole"
1500,STL140847,Euopen,,"2,4-dioxo-1H-pyrimidine-6-carboxamide",NC(C(NC(N1)=O)=CC1=O)=O,NC(C(NC(N1)=O)=CC1=O)=O,HKFHIZASFFTQOK-UHFFFAOYSA-N,11,O=c1cc[nH]c(=O)[nH]1,"1H-pyrimidine-2,4-dione"
1501,EN300-1705755,Euopen,,1-(2-fluorophenyl)-2-methylpropan-2-ol,CC(C)(Cc(cccc1)c1F)O,CC(C)(Cc(cccc1)c1F)O,NFOZMGHHOVKFIB-UHFFFAOYSA-N,12,c1ccccc1,benzene
1502,EN300-221202,Euopen,,"2,2,2-trifluoroethoxybenzene",FC(COc1ccccc1)(F)F,FC(COc1ccccc1)(F)F,MFWASTQSJSBGNG-UHFFFAOYSA-N,12,c1ccccc1,benzene
1503,EN300-74746,Euopen,,3-amino-2-methyl-N-(1H-pyrazol-4-yl)propanamide,CC(CN)C(Nc1c[nH]nc1)=O,CC(CN)C(Nc1c[nH]nc1)=O,MPAIGPXTGNZARP-UHFFFAOYSA-N,12,c1cn[nH]c1,1H-Pyrazole
1504,EN300-384647,Euopen,,(2S)-2-amino-3-(1H-imidazol-4-yl)-N-methylpropanamide,CNC([C@H](Cc1c[nH]cn1)N)=O,CNC([C@H](Cc1c[nH]cn1)N)=O,BKNRTJJZMZGFEH-LURJTMIESA-N,12,c1c[nH]cn1,1H-Imidazole
